Sl. No.,First Name,Last Name,Gender,Age,Phone,Experience (Years),Salary,Married,Department,Date of Resignation,Year of Resignation
1,Ryan,Armstrong,Male,26,271-9750-27,4,101250,Single,R&D,10/16/22,2022
2,Rafael,Higgins,Male,30,695-9392-72,2,170167,Married,Operations,02-08-2011,2011
3,Ellia,Perry,Female,25,389-1965-68,2,76245,Single,Operations,12-10-2016,2016
4,Honey,Dixon,Female,28,419-0046-44,9,41041,Single,Development,8/16/12,2012
5,Ada,Robinson,Female,26,091-1518-27,12,94512,Single,HR,9/26/13,2013
6,Luke,Gray,Male,33,314-8318-63,6,34494,Married,Development,12/21/16,2016
7,Lydia,Ferguson,Female,31,968-7057-99,9,158133,Single,Marketing,4/14/15,2015
8,Belinda,Barrett,Female,28,305-4176-49,2,146276,Married,Marketing,7/29/20,2020
9,Lucia,Ellis,Female,31,523-0312-01,3,105820,Married,R&D,10/28/22,2022
10,Adrianna,Tucker,Female,33,615-9689-63,8,176249,Single,Development,12/27/20,2020
11,Joyce,Richards,Female,31,011-7478-95,0,193549,Married,Accounting,10/27/16,2016
12,Dominik,Dixon,Male,31,509-1115-06,9,160803,Married,Sales,3/27/19,2019
13,Jasmine,Farrell,Female,32,715-1942-97,13,60311,Married,Accounting,10/13/15,2015
14,Alfred,Ryan,Male,26,567-6624-84,8,132828,Single,HR,08-12-2016,2016
15,Alexander,Ferguson,Male,24,803-6318-46,3,118428,Married,HR,3/20/17,2017
16,Fiona,Thompson,Female,29,016-0885-94,10,125989,Married,HR,9/17/20,2020
17,Kellan,Higgins,Male,31,989-4156-06,8,77991,Married,Development,11-01-2014,2014
18,Daisy,Cunningham,Female,27,713-4581-64,7,53624,Single,Development,6/27/20,2020
19,Tiana,Anderson,Female,25,372-6387-48,6,140512,Married,Marketing,6/26/16,2016
20,Grace,Thomas,Female,33,955-9698-02,5,171189,Married,Sales,9/28/12,2012
21,Fiona,Farrell,Female,28,874-4655-15,2,165111,Married,HR,1/15/13,2013
22,Olivia,Walker,Female,24,520-8109-73,3,89387,Single,HR,12/19/17,2017
23,Brooke,Perkins,Female,23,759-6770-77,12,121842,Single,Finance,12-07-2012,2012
24,Valeria,Morrison,Female,28,302-7330-34,9,173401,Single,Sales,04-02-2016,2016
25,Lucia,Kelly,Female,24,353-8061-63,11,37621,Single,Development,01-04-2014,2014
26,Lucy,Howard,Female,30,745-3939-23,4,155091,Married,Marketing,9/22/15,2015
27,Paige,Bailey,Female,33,436-8689-18,6,104325,Married,Accounting,11-04-2016,2016
28,Cadie,Kelley,Female,29,393-2907-99,6,77821,Single,R&D,01-04-2020,2020
29,Maya,Barrett,Female,32,551-7119-35,10,168733,Married,Finance,11-07-2017,2017
30,Belinda,Ross,Female,31,194-9789-46,5,197100,Married,HR,4/18/15,2015
31,Rubie,Howard,Female,31,640-1551-64,0,150165,Married,Accounting,4/28/11,2011
32,Byron,Wilson,Male,28,098-3463-26,4,85453,Married,R&D,11-08-2014,2014
33,Dominik,Richards,Male,27,100-5165-89,11,38752,Single,Sales,03-08-2014,2014
34,Kimberly,Williams,Female,29,291-8084-71,0,75306,Single,Development,10/26/16,2016
35,Albert,Barnes,Male,29,972-1571-17,8,183258,Single,Development,1/29/16,2016
36,Patrick,Fowler,Male,30,684-6452-06,3,176947,Single,Sales,1/15/15,2015
37,Rubie,Mitchell,Female,28,931-6100-92,3,80185,Single,Sales,10-12-2018,2018
38,Kate,Ryan,Female,23,467-4443-04,12,142982,Single,Sales,8/24/14,2014
39,Amy,Myers,Female,25,789-2118-64,5,194258,Single,Operations,12/23/21,2021
40,Heather,Perkins,Female,25,380-0078-29,4,158958,Single,Finance,9/21/14,2014
41,Alford,Mitchell,Male,33,974-3134-05,4,53009,Single,R&D,10-02-2011,2011
42,Walter,Mason,Male,31,720-8797-80,8,38798,Single,Sales,11-02-2018,2018
43,Brianna,Ross,Female,30,956-2133-53,6,165829,Single,Operations,8/24/16,2016
44,Rubie,Fowler,Female,35,461-3293-86,14,185262,Single,HR,05-03-2018,2018
45,Chloe,Anderson,Female,35,007-6396-88,6,79490,Single,Marketing,07-09-2012,2012
46,Mike,Baker,Male,24,719-9064-97,3,195549,Single,Development,3/17/22,2022
47,Vivian,Perkins,Female,30,589-6253-65,4,164767,Single,Sales,5/25/11,2011
48,Adison,Barnes,Male,26,537-8593-71,1,125155,Married,Development,11-09-2015,2015
49,Charlie,Andrews,Male,35,634-4710-45,10,157173,Single,R&D,01-08-2012,2012
50,Emma,Ellis,Female,23,966-1415-11,8,83332,Married,Accounting,12-02-2019,2019
51,Jordan,Barnes,Male,32,063-4406-12,5,122755,Married,Development,06-09-2021,2021
52,Jacob,Howard,Male,24,488-7139-60,8,173180,Single,HR,1/21/11,2011
53,Derek,Elliott,Male,25,816-2780-35,9,145199,Single,Accounting,11-01-2022,2022
54,David,Adams,Male,23,982-2045-47,12,143433,Married,R&D,9/29/20,2020
55,Eddy,Ross,Male,29,138-2528-51,3,150945,Married,Finance,12/17/19,2019
56,Kate,Martin,Female,35,837-1851-33,2,77422,Married,R&D,1/29/16,2016
57,Paul,Stevens,Male,29,599-1561-52,3,126649,Single,Development,,
58,Edwin,Riley,Male,31,461-3762-28,2,33660,Married,Sales,,
59,Ryan,Anderson,Male,24,286-1722-06,8,163508,Single,Development,,
60,William,Turner,Male,35,216-6046-71,1,69549,Single,HR,07-07-2020,2020
61,Brianna,Elliott,Female,29,360-4031-10,6,60694,Single,HR,4/26/14,2014
62,Justin,Russell,Male,28,400-4658-51,10,166545,Single,Marketing,,
63,Jacob,Morgan,Male,24,600-8690-94,6,103107,Married,R&D,6/26/16,2016
64,Sarah,Bennett,Female,30,408-2129-07,0,59300,Married,Development,4/26/15,2015
65,Reid,Hall,Male,25,558-7591-91,10,170960,Married,Operations,8/13/14,2014
